index,ticker,investCost,fromInvest,fromFinancial,fromSale,freeCashFlow
2021-Q5,TCB,-940,-880,60,12828,0.0
2020-Q5,TCB,-666,-655,-175,-10088,0.0
2019-Q5,TCB,-258,-222,-3094,12632,0.0
2018-Q5,TCB,-402,519,13699,299,0.0
2017-Q5,TCB,-176,755,765,6968,0.0
2016-Q5,TCB,-942,-921,2,2355,0.0
2015-Q5,TCB,-124,8,0,-5318,0.0
2014-Q5,TCB,-188,-750,0,1621,0.0
2013-Q5,TCB,-202,-350,0,-5075,0.0
2012-Q5,TCB,-1744,-1298,0,-10378,0.0
2011-Q5,TCB,-630,-629,0,-5812,0.0
2010-Q5,TCB,-401,-324,2917,17188,
2009-Q5,TCB,-212,-182,0,7851,0.0
2008-Q5,TCB,-220,-169,908,6775,
2007-Q5,TCB,-123,-128,1301,1963,
2006-Q5,TCB,-239,-184,503,-410,
2005-Q5,TCB,-88,-91,293,885,
2004-Q5,TCB,-14,-14,212,227,
2003-Q5,TCB,-16,-16,65,-295,
2002-Q5,TCB,-4,-4,5,44,
