index,ticker,shortAsset,cash,shortInvest,shortReceivable,inventory,longAsset,fixedAsset,asset,debt,shortDebt,longDebt,equity,capital,centralBankDeposit,otherBankDeposit,otherBankLoan,stockInvest,customerLoan,badLoan,provision,netCustomerLoan,otherAsset,otherBankCredit,oweOtherBank,oweCentralBank,valuablePaper,payableInterest,receivableInterest,deposit,otherDebt,fund,unDistributedIncome,minorShareHolderProfit,payable
2021-Q5,TCB,,3579,,,,,7224,568729,475687,,,93041,35109,4909,39451,31065.0,102670,347341,2294.0,-3736,343606,34711,45606,66853.0,1,33680,3122.0,5808.0,314753,33680,9156,47453,847.0,475687
2020-Q5,TCB,,3664,,,,,4613,439603,364988,,,74615,35049,10253,21113,7882.0,92807,277525,1295.0,-2214,275310,22836,21232,26253.0,0,27900,3252.0,5185.0,277459,27900,6790,31816,484.0,364988
2019-Q5,TCB,,4821,,,,,3208,383699,321627,,,62073,35001,3192,38596,9394.0,76108,230802,3078.0,-2917,227885,19334,38632,22634.0,0,17461,3479.0,5554.0,231297,17461,5173,21131,291.0,321627
2018-Q5,TCB,,2606,,,,,1719,320989,269206,,,51783,34966,10555,24170,11390.0,94097,159939,2803.0,-2385,157554,17702,28973,7452.0,6025,13178,3424.0,5738.0,201415,13178,3868,12403,69.0,269206
2017-Q5,TCB,,2344,,,,,1511,269392,242462,,,26931,11655,4279,16243,13913.0,58310,160849,2584.0,-1885,158964,12542,21274,25049.0,1000,17640,2764.0,3877.0,170971,17640,6157,10997,0.0,242462
2016-Q5,TCB,,2957,,,,,1583,235363,215777,,,19586,8878,2534,9059,12540.0,54277,142616,2246.0,-1495,141121,9996,15115,9771.0,1448,10415,2196.0,3992.0,173449,10415,5219,5489,0.0,215777
2015-Q5,TCB,,2754,,,,,882,191994,175536,,,16458,8878,2677,7488,7275.0,47490,112180,1864.0,-1167,111013,11074,8079,12667.0,0,8134,2087.0,3047.0,142240,8134,4745,2835,0.0,175536
2014-Q5,TCB,,2724,,,,,1037,175902,160916,,,14986,8878,1168,9588,9344.0,57759,80308,1914.0,-960,79348,13555,7847,11625.0,0,6254,1908.0,3341.0,131690,6254,4552,1556,0.0,160916
2013-Q5,TCB,,2291,,,,,1033,158897,144977,,,13920,8878,2831,11857,3599.0,50894,70275,2566.0,-1186,69089,15917,4565,10660.0,0,5643,1861.0,5257.0,119978,5643,4372,670,0.0,144977
2012-Q5,TCB,,4529,,,,,1146,179934,166644,,,13290,8848,5577,21160,10196.0,47516,68261,1840.0,-1125,67136,21359,14921,24250.0,0,10451,2069.0,5895.0,111462,10451,3476,966,0.0,166644
2011-Q5,TCB,,5115,,,,,1191,180531,168015,,,12516,8788,4466,43191,0.0,48703,63451,1794.0,-889,62562,15228,38188,9944.0,3318,23094,1832.0,4472.0,88648,23094,1059,2668,0.0,168015
2010-Q5,TCB,,4316,,,,,1004,150291,140902,,,9389,6932,2753,46261,2.0,32171,52928,1211.0,-611,52317,11467,22200,5583.0,8091,15024,1379.0,2219.0,80551,15024,691,1765,0.0,140902
2009-Q5,TCB,,1973,,,,,701,92582,85258,,,7324,5400,2720,25899,379.0,14099,42093,1048.0,-512,41580,5193,7707,2639.0,3932,5037,839.0,1113.0,62347,5037,472,1451,0.0,85258
2008-Q5,TCB,,1566,,,,,564,59099,53474,,,5625,3642,2297,15647,0.0,10564,26343,,-324,26019,2412,8196,775.0,0,2762,1000.0,878.0,39618,2762,283,636,0.0,53474
2007-Q5,TCB,,496,,,,,437,39542,35969,,,3573,2521,1299,9304,,6879,20486,,0,20486,642,8459,,302,0,,,24477,0,146,429,,35969
2006-Q5,TCB,,204,,,,,338,17326,15565,,,1762,1500,409,4458,,2908,8696,,0,8696,313,5071,,58,192,,,9566,192,86,171,,15565
2005-Q5,TCB,,162,,,,,149,10666,9657,,,1009,618,326,2633,,1954,5293,,0,5293,149,2904,,150,0,,,6195,0,50,128,,9657
2004-Q5,TCB,,148,,,,,63,7667,7152,,,515,413,199,3074,,13,3466,,-95,3370,76,2387,,0,0,,,4600,0,62,40,,7152
2003-Q5,TCB,,114,,,,,51,5510,5302,,,209,180,74,2258,,760,2297,,-83,2213,39,2579,,0,0,,,2620,0,9,20,,5302
2002-Q5,TCB,,63,,,,,33,4060,3929,,,131,118,59,1884,,21,1896,,-38,1858,32,1819,,0,0,,,2025,0,8,5,,3929
2001-Q5,TCB,,29,,,,,30,2388,2273,,,116,102,45,797,,58,1423,,-18,1406,23,2088,,0,0,,,0,0,7,6,,2273
