,Mã CP,Giá Khớp Lệnh,KLBD/TB5D,T.độ GD,KLGD ròng(CM),%KLGD ròng (CM),RSI,MACD Volume,MACD Signal,Tín hiệu KT,Tín hiệu TB động,MA20,MA50,MA100,Phiên +/- ,Đ.góp VNI,P/E,P/B,ROE,TCRating,TCBS định giá,% thay đổi giá 3D,% thay đổi giá 1M,% thay đổi giá 3M,% thay đổi giá 1Y,RS 3D,RS 1M,RS 3M,RS 1Y,RS TB,Đỉnh 1M,Đỉnh 3M,Đỉnh 1Y,Đáy 1M,Đáy 3M,Đáy 1Y,%Đỉnh 1Y,%Đáy 1Y,%Giá - %VNI (1M),%Giá - %VNI (1Y),Khối lượng Dư mua,Khối lượng Dư bán,Khớp nhiều nhất,seq,vnid3d,vnid1m,vnid3m,vnid1y,vnipe,vnipb,timeStamp
0,A32,29000.0,0.0,0.0,0.0,0.0,49.336446770508715,-0.09,Neutral,Neutral,Neutral,29501.0,28722.4,29008.7,0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.5,0.0,2.1,0.0,0.0,0.0,0.0,0.0,31500,34000,34031,27500,27000,24315,-14.8,19.3,3.4,31.5,400.0,300.0,29000.0,1669874400.0,4.2,2.0,-17.5,-29.4,10.9803,1.59104,2022-12-01 13:01:55
1,AAA,7940.0,1.64,1.13,0.0,0.0,60.002271971872155,0.23,Buy,Sell,Sell,6844.0,7845.6,9924.8,1,0.04,9.2,0.5,0.060672,2.9,13890,2.0,-2.8,-36.6,-55.1,61.0,50.0,25.0,22.0,40.0,7890,11950,22800,5690,5690,5690,-66.9,32.7,-4.9,-25.7,51900.0,47500.0,7930.0,1669874400.0,4.2,2.0,-17.5,-29.4,10.9803,1.59104,2022-12-01 13:01:55
2,AAM,11800.0,3.12,0.94,0.0,0.0,64.95474079036941,0.22,Buy,Sell,Neutral,10451.0,11053.4,11569.7,1,0.0,6.8,0.6,0.089793,3.3,31119,5.0,5.5,-4.1,-13.8,28.0,51.0,75.0,45.0,50.0,11600,12500,17900,9290,9290,9290,-35.2,24.9,3.4,15.6,6500.0,4300.0,12050.0,1669874400.0,4.2,2.0,-17.5,-29.4,10.9803,1.59104,2022-12-01 13:01:55
3,AAS,11300.0,1.44,1.21,0.0,0.0,60.88433562127945,0.5,Buy,Sell,Strong Sell,9035.7,11202.6,15283.3,4,0.01,1.6,0.6,0.424074,3.2,65523,7.1,-11.0,-45.6,-65.3,92.0,23.0,8.0,11.0,34.0,11700,19300,35528,7100,7100,7066,-70.4,48.6,-13.1,-36.0,7200.0,21600.0,11400.0,1669874400.0,4.2,2.0,-17.5,-29.4,10.9803,1.59104,2022-12-01 13:01:55
4,AAT,6240.0,0.64,0.27,0.0,0.0,52.29649693329481,0.22,Buy,Neutral,Sell,5546.0,7204.4,9528.3,4,0.01,4.2,0.5,0.151077,2.9,16102,11.7,-21.4,-50.0,-69.1,34.0,63.0,14.0,15.0,32.0,7690,11750,19205,4800,4800,4800,-69.3,22.9,-23.5,-39.7,100000.0,34200.0,6300.0,1669874400.0,4.2,2.0,-17.5,-29.4,10.9803,1.59104,2022-12-01 13:01:55
5,AAV,5500.0,1.19,0.39,0.0,0.0,65.58747438379532,0.3,Buy,Buy,Buy,3910.0,5132.0,6989.8,4,0.03,44.7,0.4,0.013308,2.4,9533,19.0,-2.0,-44.4,-80.7,12.0,13.0,2.0,17.0,11.0,5000,8900,26087,2800,2800,2800,-80.8,78.6,-4.0,-51.3,186000.0,0.0,5500.0,1669874400.0,4.2,2.0,-17.5,-29.4,10.9803,1.59104,2022-12-01 13:01:55
6,ABB,8600.0,3.07,9.51,-169200.0,-19.7,61.98748612018032,0.23,Buy,Buy,Strong Buy,7455.8,8377.7,9822.3,4,0.04,4.5,0.6,0.148749,2.9,16393,2.5,-3.6,-29.6,-51.8,70.0,48.0,35.0,26.0,45.0,8400,11600,18095,6200,6200,6179,-55.2,31.1,-5.6,-22.4,338200.0,515900.0,8200.0,1669874400.0,4.2,2.0,-17.5,-29.4,10.9803,1.59104,2022-12-01 13:01:55
7,ABC,,,,,,,,,,,,,,0,,-0.2,-0.4,-14.0853,2.6,0,0.0,-23.3,-51.6,-66.4,42.0,21.0,6.0,11.0,20.0,6000,9500,15572,4600,4600,4600,-70.5,0.0,-25.4,-37.0,,,,,4.2,2.0,-17.5,-29.4,10.9803,1.59104,2022-12-01 13:01:55
8,ABI,35300.0,0.42,0.0,0.0,0.0,68.86719327052722,0.71,Buy,Sell,Strong Sell,30797.8,32356.9,35449.7,2,0.0,11.6,1.3,0.118048,3.0,70508,10.0,14.2,-9.0,-32.5,72.0,91.0,70.0,47.0,70.0,35300,39700,52273,27700,27700,27676,-32.5,27.5,12.2,-3.1,1500.0,9700.0,35300.0,1669874400.0,4.2,2.0,-17.5,-29.4,10.9803,1.59104,2022-12-01 13:01:55
9,ABR,10000.0,0.0,0.0,0.0,0.0,58.28323721930342,0.05,Buy,Neutral,Strong Sell,9734.0,9999.0,11074.0,0,0.0,7.5,0.7,0.098106,3.2,21764,0.0,5.1,-23.8,-55.6,96.0,21.0,5.0,2.0,31.0,10450,12550,29500,9250,8660,8660,-67.1,12.2,3.0,-26.2,100.0,300.0,10150.0,1669874400.0,4.2,2.0,-17.5,-29.4,10.9803,1.59104,2022-12-01 13:01:55
